,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
720,2020-05-19,78.7575,79.63,78.2525,78.285,76.966667,101729540,25432385,-0.4725,-0.59994,79.09,"May 19, 20",-0.0059994
719,2020-05-20,79.17,79.88,79.05,79.8075,78.463531,111504860,27876215,0.6375,0.80523,79.62,"May 20, 20",0.0080523
718,2020-05-21,79.665,80.2225,78.9675,79.2125,77.878532,102688844,25672211,-0.4525,-0.568,79.54,"May 21, 20",-0.00568
717,2020-05-22,78.9425,79.8075,78.8375,79.7225,78.379967,81803016,20450754,0.78,0.98806,79.39,"May 22, 20",0.0098806
716,2020-05-26,80.875,81.06,79.125,79.1825,77.849045,125519176,31379794,-1.6925,-2.09,79.89,"May 26, 20",-0.0209
715,2020-05-27,79.035,79.6775,78.2725,79.5275,78.18824,112941436,28235359,0.4925,0.62314,79.04,"May 27, 20",0.0062314
714,2020-05-28,79.1925,80.86,78.9075,79.5625,78.222649,133795408,33448852,0.37,0.46722,80.09,"May 28, 20",0.0046722
713,2020-05-29,79.8125,80.2875,79.1175,79.485,78.146454,153598128,38399532,-0.3275,-0.41034,79.68,"May 29, 20",-0.0041034
712,2020-06-01,79.4375,80.5875,79.3025,80.4625,79.107491,81000752,20250188,1.025,1.29,80.21,"June 01, 20",0.0129
711,2020-06-02,80.1863,80.86,79.7325,80.835,79.473717,87642632,21910658,0.6487,0.80899,80.38,"June 02, 20",0.0080899
710,2020-06-03,81.165,81.55,80.575,81.28,79.911232,104490584,26122646,0.115,0.14169,81.08,"June 03, 20",0.0014169
709,2020-06-04,81.0975,81.405,80.195,80.58,79.223015,87560364,21890091,-0.5175,-0.63812,80.83,"June 04, 20",-0.0063812
708,2020-06-05,80.8375,82.9375,80.8075,82.875,81.479362,137248048,34312012,2.0375,2.52,82.28,"June 05, 20",0.0252
707,2020-06-08,82.5625,83.4,81.83,83.365,81.961113,95650900,23912725,0.8025,0.97199,82.77,"June 08, 20",0.0097199
706,2020-06-09,83.035,86.4025,83.0025,85.9975,84.549271,147712228,36928057,2.9625,3.57,85.36,"June 09, 20",0.0357
705,2020-06-10,86.975,88.6925,86.5225,88.21,86.724518,166646980,41661745,1.235,1.42,87.87,"June 10, 20",0.0142
704,2020-06-11,87.3275,87.765,83.87,83.975,82.560829,201659684,50414921,-3.3525,-3.84,85.77,"June 11, 20",-0.0384
703,2020-06-12,86.18,86.95,83.5558,84.7,83.273621,200145124,50036281,-1.48,-1.72,85.01,"June 12, 20",-0.0172
702,2020-06-15,83.3125,86.42,83.145,85.7475,84.30349,138808720,34702180,2.435,2.92,84.88,"June 15, 20",0.0292
701,2020-06-16,87.865,88.3,86.18,88.02,86.537712,165428728,41357182,0.155,0.17641,87.72,"June 16, 20",0.0017641
